experiment;integrated_area;NiSO4 (mol/L);Na2Mo (mol/L);H2SO4 (mol/L);Dep t (s);Dep I (mA/cm²);Dep T (C);ML_optimization;qUpperConfidence_beta
54;12963.060264476107;0.002;0.002;0.05;490.0;189.0;70.4;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
55;12353.809847400977;0.002;0.002;0.05;473.0;200.0;70.7;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
56;17580.68726730324;0.002;0.002;0.05;460.0;200.0;70.5;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
57;13182.766875370415;0.002;0.002;0.05;480.0;200.0;70.5;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
58;11259.450121468179;0.002;0.002;0.05;477.0;200.0;70.7;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
59;12217.713030806444;0.002;0.002;0.05;468.0;200.0;70.6;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
60;14095.605993434205;0.038;0.006;0.05;460.0;200.0;68.3;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
61;16477.126837024116;0.058;0.008;0.05;457.0;200.0;68.0;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
62;14954.302297462664;0.008;0.058;0.05;475.0;200.0;68.7;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
63;15490.87573754357;0.009;0.054;0.05;476.0;200.0;68.6;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
64;11716.235069581679;0.058;0.008;0.05;472.0;200.0;68.0;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
65;11983.924943523434;0.058;0.008;0.05;461.0;200.0;68.0;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
66;12353.923967035666;0.068;0.009;0.05;453.0;200.0;67.9;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
67;11191.844066177822;0.082;0.01;0.05;455.0;200.0;67.9;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
68;14891.87773620591;0.111;0.019;0.05;440.0;200.0;67.3;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
69;12149.825609215246;0.098;0.012;0.05;448.0;200.0;67.8;{'optimizer_method': 'qUpperConfidenceBound', 'qUpperConfidence_beta': 2};
74;27359.889595560613;0.358;0.038;0.05;76.0;187.0;29.2;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
75;18755.692701735716;0.077;0.035;0.05;447.0;36.0;58.2;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
76;17932.40753100542;0.058;0.008;0.05;522.0;9.0;67.8;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
77;11772.663394146613;0.176;0.02;0.05;518.0;194.0;67.4;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
78;14193.162536082213;0.085;0.218;0.05;515.0;172.0;63.4;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
79;16427.084785645893;0.358;0.038;0.05;340.0;139.0;67.4;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
80;17171.2340133311;0.358;0.038;0.05;522.0;160.0;68.7;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
81;11285.288590656563;0.085;0.218;0.0;515.0;172.0;63.3;random;
82;12854.985888641657;0.085;0.218;0.03;515.0;172.0;63.4;random;
83;9720.750671524991;0.079;0.097;0.0;522.0;137.0;64.8;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
84;10720.731940792193;0.209;0.225;0.0;419.0;197.0;68.3;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
85;20982.235980267546;0.173;0.166;0.05;499.0;68.0;63.9;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
86;13694.680657909503;0.028;0.256;0.0;440.0;147.0;67.4;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
87;13742.42762177929;0.144;0.109;0.0;409.0;78.0;67.9;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
88;23678.093949086382;0.095;0.019;0.0;422.0;31.0;66.9;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
89;22369.39418946269;0.176;0.231;0.0;364.0;58.0;67.9;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
90;13613.01245721373;0.216;0.202;0.05;375.0;193.0;70.9;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
91;25319.93081279755;0.169;0.167;0.0;179.0;157.0;58.9;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
92;11996.380874525905;0.07;0.084;0.05;447.0;124.0;64.3;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
93;11234.928539665663;0.02;0.18;0.0;390.0;189.0;67.1;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
94;26874.91692006975;0.098;0.133;0.05;378.0;169.0;42.8;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
95;8866.999848453577;0.022;0.196;0.0;587.0;149.0;67.3;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
96;9164.321754561775;0.02;0.184;0.0;501.0;179.0;67.6;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
97;15078.046110444979;0.085;0.218;0.05;515.0;172.0;63.0;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
98;11262.63751833513;0.02;0.178;0.0;520.0;94.0;64.7;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
99;18756.38190335823;0.222;0.024;0.05;358.0;54.0;66.2;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
100;27143.87532316073;0.108;0.286;0.0;373.0;89.0;50.4;{'optimizer_method': 'qMaxValueEntropy, params : None', 'qUpperConfidence_beta': None};
